extracted,words,segments_equiv,chunk_count,has_segment_ledger,twin_certified,needs_reread,bucket
righteous_mind_haidt.txt,137786,21,5,no,no,yes,chunked_not_certified
status_and_culture_marx.txt,153405,23,8,no,no,yes,chunked_not_certified
the_status_game_storr.txt,129204,20,8,no,no,yes,chunked_not_certified
the_boron_letters_halbert.txt,43043,7,4,no,no,yes,chunked_not_certified
confessions_of_an_advertising_man_ogilvy.txt,42924,7,7,yes,no,no,coverage_proven
the_adweek_copywriting_handbook_sugarman.txt,107745,17,5,no,no,yes,chunked_not_certified
using_ai_x_gumroad_digital_products.txt,55649,9,3,no,no,yes,chunked_not_certified
claude_operating_manual.txt,2989,1,6,yes,no,no,coverage_proven
the_claude_stack.txt,13253,2,8,no,no,no,chunked_not_certified
ai_after_ramon.txt,137066,21,5,no,no,yes,chunked_not_certified
claude_cowork_genius.txt,66376,10,4,yes,no,no,coverage_proven
the_prince_machiavelli.txt,140507,21,4,no,no,yes,chunked_not_certified
on_war_clausewitz.txt,115527,18,5,no,no,yes,chunked_not_certified
landmark_caesar.txt,187008,28,4,no,no,yes,chunked_not_certified
meditations_marcus_aurelius.txt,154648,24,5,no,no,yes,chunked_not_certified
noise_kahneman_sibony_sunstein.txt,133394,20,4,no,no,yes,chunked_not_certified
thinking_fast_and_slow_kahneman.txt,190774,29,8,no,no,yes,chunked_not_certified
the_chiffon_trenches_talley.txt,87847,14,3,no,no,yes,chunked_not_certified
dior_by_dior_dior.txt,73252,11,4,no,no,yes,chunked_not_certified
the_little_dictionary_of_fashion_dior.txt,18733,3,2,no,no,yes,chunked_not_certified
the_beautiful_fall_drake.txt,169922,26,4,no,no,yes,chunked_not_certified
the_prophet_gibran.txt,12924,2,4,no,no,no,chunked_not_certified
lolita_nabokov.txt,111150,17,6,no,no,yes,chunked_not_certified
as_a_man_thinketh_allen.txt,7584,2,5,no,no,no,chunked_not_certified
ulysses_joyce.txt,291503,44,7,no,no,yes,chunked_not_certified
slaughterhouse_five_vonnegut.txt,49544,8,5,no,no,yes,chunked_not_certified
the_kite_runner_hosseini.txt,115758,18,5,no,no,yes,chunked_not_certified
mj_moonwalk.txt,53204,8,7,no,no,yes,chunked_not_certified
ai_phone_call_assistant.txt,287,1,5,no,no,no,chunked_not_certified
master_prompt_agent_chat_input.txt,227,1,3,no,no,no,chunked_not_certified
prompt_writing_agent_normal_model.txt,323,1,0,no,no,no,extracted_only_provisional
prompt_writing_agent_deep_reasoning.txt,329,1,2,no,no,no,chunked_not_certified
n8n_retellai.txt,370,1,6,no,no,no,chunked_not_certified
master_prompt_agent_form_submission.txt,189,1,2,no,no,no,chunked_not_certified
handmaids_tale_atwood.txt,97147,15,5,no,no,yes,chunked_not_certified
brave_new_world_revisited_huxley.txt,34610,6,7,no,no,yes,chunked_not_certified
animal_farm_orwell.txt,30035,5,5,no,no,yes,chunked_not_certified
high_level_convos.txt,684626,103,25,yes,no,no,coverage_proven
claude_for_small_business_organized.txt,2854,1,8,yes,no,no,coverage_proven
claude_for_small_business_legacy_quote_recovery.txt,66234,10,0,no,no,yes,extracted_only_provisional
hello_my_name_is_awesome_watkins.txt,23925,4,2,no,no,yes,chunked_not_certified
brand_naming_meyerson.txt,43009,7,2,no,no,yes,chunked_not_certified
the_brand_gap_neumeier.txt,22630,4,4,no,no,yes,chunked_not_certified
identity_designed_airey.txt,55889,9,3,no,no,yes,chunked_not_certified
designing_brand_identity_wheeler.txt,97191,15,4,no,no,yes,chunked_not_certified
bluest_eye_morrison.txt,53600,8,9,no,no,yes,chunked_not_certified
color_purple_collection_walker.txt,257368,39,10,no,no,yes,chunked_not_certified
their_eyes_hurston.txt,71033,11,9,no,no,yes,chunked_not_certified
new_rules_kelly.txt,61078,10,3,no,no,yes,chunked_not_certified
great_online_game_mccormick.txt,4343,1,1,no,no,no,chunked_not_certified
long_tail_anderson.txt,75305,12,4,no,no,yes,chunked_not_certified
the_inevitable_kelly.txt,108050,17,5,no,no,yes,chunked_not_certified
free_anderson.txt,74656,12,3,no,no,yes,chunked_not_certified
prompt_template_thought_generation.txt,314,1,2,no,no,no,chunked_not_certified
prompt_template_problem_decomposition.txt,317,1,1,no,no,no,chunked_not_certified
prompt_template_combining_techniques.txt,420,1,3,no,no,no,chunked_not_certified
prompt_template_self_criticism_advanced.txt,266,1,2,no,no,no,chunked_not_certified
prompt_template_in_context.txt,303,1,3,no,no,no,chunked_not_certified
prompt_template_self_criticism_basic.txt,269,1,1,no,no,no,chunked_not_certified
grace_a_memoir_coddington.txt,82007,13,7,no,no,yes,chunked_not_certified
total_recall_schwarzenegger.txt,242002,37,9,no,no,yes,chunked_not_certified
emyth_revisited_gerber.txt,66283,10,3,no,no,yes,chunked_not_certified
built_to_sell_warrillow.txt,38682,6,3,no,no,yes,chunked_not_certified
reengineering_hammer_champy.txt,79110,12,3,no,no,yes,chunked_not_certified
the_goal_goldratt.txt,143658,22,5,no,no,yes,chunked_not_certified
no_filter_instagram_frier.txt,115806,18,4,no,no,yes,chunked_not_certified
made_in_japan_morita.txt,135753,21,3,no,no,yes,chunked_not_certified
grinding_it_out_kroc.txt,70620,11,3,no,no,yes,chunked_not_certified
that_will_never_work_randolph.txt,102037,16,4,no,no,yes,chunked_not_certified
dv_vreeland.txt,65693,10,5,no,no,yes,chunked_not_certified
losing_my_virginity_branson.txt,181881,28,3,no,no,yes,chunked_not_certified
