slug,title,author,domain,words,segments,chunks,cited_by_doctrine,status
claudeoperatingmanual,The Claude Operating Manual,SNIPED (operator-authored · sy,meta-doctrine,2989,1,6,no,provisional_chunked
claudeforsmallbusinessorganized,Claude for Small Business · Sniped OS Research,SNIPED Media (research compila,strategy,2854,1,8,no,provisional_chunked
briefcanonicaltruths,Canonical Truths · SNIPED Media OS,BJ / SNIPED Media,operator-doctrine,1773,1,3,no,provisional_chunked
briefthespine,THE SPINE · portable continuity doc,BJ / SNIPED Media,operator-doctrine,2821,1,4,no,provisional_chunked
briefthelineagedoctrine,The Lineage Doctrine · LOCKED 2026-05-12,BJ / SNIPED Media,operator-doctrine,1327,1,2,no,provisional_chunked
briefoperatinglocks20260512,Operating Locks · LOCKED 2026-05-12,BJ / SNIPED Media,operator-doctrine,1914,1,3,no,provisional_chunked
brieftheoperatorcodeddefinition,The Operator-Coded Definition,BJ / SNIPED Media,operator-doctrine,1159,1,2,no,provisional_chunked
briefleanexecutionaudit,Lean Execution Audit · findings,BJ / SNIPED Media,operator-process,3963,1,4,no,provisional_chunked
briefmondaycockpit,Monday Cockpit · weekly operator ritual,BJ / SNIPED Media,operator-process,1208,1,2,no,provisional_chunked
briefsaturdaybuildbrief,Saturday Build Brief · the build-cycle doc,BJ / SNIPED Media,operator-process,2165,1,3,no,provisional_chunked
briefsystemfinalstatus,System Final Status · doctrine snapshot,BJ / SNIPED Media,operator-doctrine,2891,1,4,no,provisional_chunked
briefoperatorquestions20260513,Operator Questions 2026-05-13 · question bank,BJ / SNIPED Media,operator-process,3000,1,3,no,provisional_chunked
briefpartnershipprotocol,Partnership Protocol · the decision framework,BJ / SNIPED Media,operator-doctrine,1657,1,2,no,provisional_chunked
briefrecurringchecklists,Recurring Checklists · daily + weekly rituals,BJ / SNIPED Media,operator-process,1253,1,2,no,provisional_chunked
